world_cup_year,date,stage,home_team,away_team,score_original_home,score_original_away,score_90_home,score_90_away,has_extra_time,has_penalty_shootout,score_corrected,city,country,neutral,verification_source,verification_note
2014,2014-06-30,Round of 16,France,Nigeria,2,0,2,0,False,False,False,Brasília,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-06-30,Round of 16,Germany,Algeria,2,1,0,0,True,False,True,Porto Alegre,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-01,Round of 16,Argentina,Switzerland,1,0,0,0,True,False,True,São Paulo,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-01,Round of 16,Belgium,United States,2,1,0,0,True,False,True,Salvador,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-04,Quarter-finals,Brazil,Colombia,2,1,2,1,False,False,False,Fortaleza,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-07-04,Quarter-finals,France,Germany,0,1,0,1,False,False,False,Rio de Janeiro,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-07-05,Quarter-finals,Argentina,Belgium,1,0,1,0,False,False,False,Brasília,Brazil,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-07-05,Quarter-finals,Netherlands,Costa Rica,0,0,0,0,True,True,False,Salvador,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-08,Semi-finals,Brazil,Germany,1,7,1,7,False,False,False,Belo Horizonte,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-07-09,Semi-finals,Netherlands,Argentina,0,0,0,0,True,True,False,São Paulo,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2014,2014-07-12,Third place,Brazil,Netherlands,0,3,0,3,False,False,False,Brasília,Brazil,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2014,2014-07-13,Final,Germany,Argentina,1,0,0,0,True,False,True,Rio de Janeiro,Brazil,True,https://github.com/openfootball/worldcup.json/blob/master/2014/worldcup.json,Extra-time match: explicit 90-minute score verified from score.ft; score.et is kept out of the 90-minute target.
2018,2018-06-14,Group stage,Russia,Saudi Arabia,5,0,5,0,False,False,False,Moscow,Russia,False,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-15,Group stage,Egypt,Uruguay,0,1,0,1,False,False,False,Ekaterinburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-15,Group stage,Morocco,Iran,0,1,0,1,False,False,False,Saint Petersburg,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-15,Group stage,Portugal,Spain,3,3,3,3,False,False,False,Sochi,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-16,Group stage,Argentina,Iceland,1,1,1,1,False,False,False,Moscow,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-16,Group stage,Croatia,Nigeria,2,0,2,0,False,False,False,Kaliningrad,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-16,Group stage,France,Australia,2,1,2,1,False,False,False,Kazan,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-16,Group stage,Peru,Denmark,0,1,0,1,False,False,False,Saransk,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-17,Group stage,Brazil,Switzerland,1,1,1,1,False,False,False,Rostov-on-Don,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
2018,2018-06-17,Group stage,Costa Rica,Serbia,0,1,0,1,False,False,False,Samara,Russia,True,https://github.com/martj42/international_results,No extra-time override required; final score is compatible with 90 minutes.
